unix,open,high,low,close,volume_btc,volume_usd
1682704800000,29251.95,29272.5,29136.0,29248.77,12.09228954,353684.5955
1682701200000,29279.88,29298.92,29164.2,29251.95,22.59182762,660855.0119
1682697600000,29156.56,29313.15,29124.47,29279.88,14.2361439,416832.5851
1682694000000,29088.63,29184.09,28954.87,29156.56,14.40323168,419948.6887
1682690400000,29035.4,29300.0,29013.39,29088.63,10.90054912,317082.0401
1682686800000,29234.67,29367.03,28917.02,29035.4,30.11763956,874477.7117
1682683200000,29247.21,29455.95,29207.58,29234.67,9.69408018,283403.235
1682679600000,29262.13,29323.11,29216.46,29247.21,4.13903114,121055.1129
1682676000000,29205.81,29364.47,29194.7,29262.13,1.70914475,50013.21586
1682672400000,29262.76,29304.37,29159.81,29205.81,4.85407901,141767.3093
1682668800000,29498.35,29502.42,29161.13,29262.76,8.43748951,246904.2305
1682665200000,29466.13,29532.65,29452.87,29498.35,1.81294973,53479.02567
1682661600000,29487.69,29530.0,29411.59,29466.13,2.28367744,67291.13633
1682658000000,29493.01,29559.69,29458.64,29487.69,5.7237452,168780.0241
1682654400000,29409.06,29542.95,29409.06,29493.01,3.79111414,111811.3672
1682650800000,29408.02,29441.99,29345.62,29409.06,3.87439801,113942.4035
1682647200000,29527.93,29558.14,29395.0,29408.02,4.15767242,122268.9137
1682643600000,29555.0,29614.84,29422.64,29527.93,3.09631863,91427.87976
1682640000000,29479.05,29555.0,29363.6,29555.0,6.6975375,197945.7208
1682636400000,29396.21,29500.0,29395.87,29479.05,10.76576049,317364.3918
1682632800000,29654.48,29669.0,29278.73,29396.21,14.21852566,417970.7662
1682629200000,29629.99,29794.03,29557.36,29654.48,7.49604022,222291.1748
1682625600000,29655.86,29752.0,29480.11,29629.99,13.98287859,414312.5528
1682622000000,29761.46,29863.29,29478.47,29655.86,23.10456169,685185.6468
1682618400000,29288.25,29880.71,29231.31,29761.46,37.25283706,1108698.82
1682614800000,29135.75,29420.22,29098.44,29288.25,25.9848121,761049.673
1682611200000,29144.59,29192.22,29025.76,29135.75,17.49167264,509633.0011
1682607600000,28961.03,29529.88,28825.98,29144.59,25.91658949,755328.3749
1682604000000,28918.77,29084.28,28918.77,28961.03,8.0574287,233351.4343
1682600400000,28862.2,28966.03,28851.74,28918.77,10.82156654,312946.3938
1682596800000,28936.97,29085.61,28683.91,28862.2,10.47384158,302298.1105
1682593200000,28970.5,29150.34,28891.59,28936.97,4.89286031,141584.552
1682589600000,28943.0,29020.1,28894.68,28970.5,4.07870594,118162.1504
1682586000000,28954.02,29030.91,28880.0,28943.0,3.44431689,99688.86375
1682582400000,28899.2,29087.07,28778.14,28954.02,3.50246883,101410.5526
1682578800000,28800.44,28944.15,28711.44,28899.2,2.85568964,82527.14604
1682575200000,29083.06,29096.83,28647.48,28800.44,7.36828648,212209.8927
1682571600000,29097.15,29280.0,29052.58,29083.06,3.3882276,98540.02658
1682568000000,28888.32,29136.73,28873.77,29097.15,12.16080912,353844.8871
1682564400000,29043.88,29044.62,28836.94,28888.32,12.0269938,347439.6455
1682560800000,28740.06,29099.99,28740.06,29043.88,18.18337706,528115.8213
1682557200000,29227.84,29327.89,28569.2,28740.06,28.05821211,806394.6995
1682553600000,28421.91,29479.94,28387.03,29227.84,62.92519198,1839167.443
1682550000000,28296.41,28460.19,28279.0,28421.91,19.07838265,542244.0746
1682546400000,28695.99,28736.22,28161.98,28296.41,71.18780778,2014359.396
1682542800000,28421.99,28700.0,28115.85,28695.99,32.83940918,942359.3574
1682539200000,27884.66,28422.0,27216.49,28421.99,93.47736791,2656812.816
1682535600000,29729.18,29732.62,27705.66,27884.66,111.3591111,3105210.952
1682532000000,29722.38,29800.41,29701.25,29729.18,10.18672592,302843.0085
1682528400000,29782.08,29841.77,29679.14,29722.38,14.70864934,437176.065
1682524800000,29816.58,29887.4,29716.29,29782.08,7.50628514,223552.7845
1682521200000,29687.4,29852.99,29679.14,29816.58,13.27350648,395770.5678
1682517600000,29841.47,29871.26,29517.53,29687.4,14.48765952,430100.9432
1682514000000,29961.17,30015.08,29654.51,29841.47,73.35542067,2189033.585
1682510400000,28955.02,30003.31,28955.02,29961.17,46.62860191,1397047.469
1682506800000,28989.7,29121.57,28900.86,28955.02,11.17242074,323497.666
1682503200000,28880.69,29084.31,28786.6,28989.7,257.8143965,7473962.01
1682499600000,28732.45,28931.0,28694.75,28880.69,15.59888322,450506.5106
1682496000000,28373.11,28777.0,28373.11,28732.45,6.04159553,173589.8415
1682492400000,28408.9,28412.44,28327.83,28373.11,1.10239454,31278.36155
1682488800000,28397.87,28588.16,28362.0,28408.9,5.9486377,168994.2536
1682485200000,28337.17,28425.53,28337.17,28397.87,6.53917501,185698.6418
1682481600000,28320.46,28379.8,28315.47,28337.17,1.74734371,49514.77576
1682478000000,28388.0,28459.83,28313.51,28320.46,3.80230132,107682.9224
1682474400000,28383.2,28407.44,28348.38,28388.0,5.94653942,168810.3611
1682470800000,28311.83,28394.22,28261.68,28383.2,9.77388542,277414.1447
